_key,Cleaned Incident,Year,Cleaned Event,Location,Latitude,Longitude,Cleaned Impact,Cleaned Group,Cleaned Outcome
21,nirbhaya case,2012,criminal incident,India,23.379379735000043,79.44332654800007,brought attention to womens safety and led to legal reforms,"indian society, government of india",positive
22,launch of 5g services,2022,technology,India,23.379379735000043,79.44332654800007,introduction of 5g technology expected to revolutionize connectivity,"telecom companies, government of india",positive
23,ram mandir bhoomi pujan,2020,culturalreligious,India,23.379379735000043,79.44332654800007,beginning of the construction of ram temple at disputed site,"government of india, hindu activists",positive
24,indias first hyperloop project announcement,2018,infrastructure,India,23.379379735000043,79.44332654800007,proposal for highunknownspeed transportation system,"virgin hyperloop one, state government",positive
25,indian independence,1947,political,India,23.379379735000043,79.44332654800007,end of british rule and birth of independent india,"indian national congress, muslim league",positive
26,first general elections,1951,political,India,23.379379735000043,79.44332654800007,establishment of democratic governance,government of india,positive
27,sinounknownindian war,1962,military conflict,India,23.379379735000043,79.44332654800007,highlighted the border disputes and led to military and strategic changes,"india, china",negative
28,first nuclear test smiling buddha,1974,nuclear test,India,23.379379735000043,79.44332654800007,"india joins the nuclear club, changing its strategic position globally",government of india,mixed
29,emergency declared by indira gandhi,1975,political,India,23.379379735000043,79.44332654800007,period of political unrest and curtailment of civil liberties,"indira gandhi, government of india",negative
30,bhopal gas tragedy,1984,industrial disaster,India,23.379379735000043,79.44332654800007,worlds worst industrial disaster,union carbide corporation,negative
31,economic reforms and liberalization,1991,economic policy,India,23.379379735000043,79.44332654800007,opening of the indian economy to global markets and investors,"manmohan singh, p.v. narasimha rao",positive
32,kandahar hijacking ic 814,1999,terrorism,India,23.379379735000043,79.44332654800007,highlighted issues in aviation security and terrorism,"hijackers, indian government",negative
33,2001 indian parliament attack,2001,terrorism,India,23.379379735000043,79.44332654800007,led to increased tensions between india and pakistan,"terrorist groups, government of india",negative
34,right to education act,2009,legislation,India,23.379379735000043,79.44332654800007,ensured free and compulsory education for children,government of india,positive
35,article 370 revocation for jammu  kashmir,2019,political,India,23.379379735000043,79.44332654800007,changed the special status and autonomy of jk,government of india,mixed
36,supreme court verdict on ayodhya,2019,judiciary,India,23.379379735000043,79.44332654800007,paved the way for the construction of a ram temple,supreme court of india,mixed
37,opening of bandraunknownworli sea link,2009,infrastructure,India,23.379379735000043,79.44332654800007,improved connectivity and reduced travel time in mumbai,government of maharashtra,positive
38,statue of unity unveiled,2018,culturalpolitical,India,23.379379735000043,79.44332654800007,"became the worlds tallest statue, symbolizing unity",government of india,positive
39,triple talaq bill passed,2019,legislation,India,23.379379735000043,79.44332654800007,made instant triple talaq a criminal offence,parliament of india,positive
40,indias first transgender university,2020,education,India,23.379379735000043,79.44332654800007,empowered the transgender community through education,dr. akhilesh das gupta foundation,positive
41,nationwide lockdown due to covidunknown19,2020,public health,India,23.379379735000043,79.44332654800007,aimed to prevent the spread of covidunknown19 significant economic impact,government of india,negative
42,historic win in cricket world cup 1983,1983,sports,India,23.379379735000043,79.44332654800007,"marked indias first cricket world cup win, boosting the sports popularity",indian cricket team,positive
43,2013 uttarakhand floods,2013,natural disaster,India,23.379379735000043,79.44332654800007,severe floods causing massive destruction and loss of life,"state government, national disaster response force",negative
44,indian mars orbiter mission success,2014,space exploration,India,23.379379735000043,79.44332654800007,"made india the first asian nation to reach mars orbit, and at first attempt",isro,positive
45,india wins icc t20 world cup 2007,2007,sports,India,23.379379735000043,79.44332654800007,boosted the popularity of t20 cricket in india and worldwide,indian cricket team,positive
46,indias demonetisation campaign,2016,economic policy,India,23.379379735000043,79.44332654800007,"aimed to curb illegal cash holdings, and promote digital transactions","government of india, prime minister narendra modi",mixed
47,introduction of upi unified payment interface,2016,financial technology,India,23.379379735000043,79.44332654800007,"revolutionized digital payments in india, making transactions simple and fast",national payments corporation of india npci,positive
48,jio telecom launch,2016,telecommunications,India,23.379379735000043,79.44332654800007,dramatically increased internet accessibility and usage in india,reliance industries,positive
49,abolition of instant triple talaq,2019,legal,India,23.379379735000043,79.44332654800007,protected muslim womens rights by making instant triple talaq illegal,parliament of india,positive
50,asiatic lion census showing population increase,2020,wildlife conservation,India,23.379379735000043,79.44332654800007,"indicated successful conservation efforts, with an increase in the asiatic lion population","wildlife conservationists, government of gujarat",positive
51,decriminalisation of section 377,2018,legal,India,23.379379735000043,79.44332654800007,"landmark judgement for lgbtq rights in india, decriminalizing homosexuality",supreme court of india,positive
52,launch of chandrayaanunknown1,2008,space exploration,India,23.379379735000043,79.44332654800007,"indias first lunar mission, contributing significant findings like water molecules on moon",indian space research organisation isro,positive
53,start of swachh bharat mission,2014,environmentalsocial,India,23.379379735000043,79.44332654800007,"aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas","government of india, prime minister narendra modi",positive
54,pulwama terrorist attack,2019,terrorism,India,23.379379735000043,79.44332654800007,led to a significant military and diplomatic standoff between india and pakistan,jaishunknowneunknownmohammed,negative
55,historic solar alliance initiative,2015,international cooperation,India,23.379379735000043,79.44332654800007,india counknownlaunched the international solar alliance to promote solar energy globally,"government of india, france",positive
56,gst goods and services tax implementation,2017,economic reform,India,23.379379735000043,79.44332654800007,"unified the countrys tax system, replacing multiple indirect taxes with a single tax",government of india,positive
57,citizenship amendment act caa implementation,2019,legislation,India,23.379379735000043,79.44332654800007,led to widespread protests due to concerns over citizenship criteria based on religion,government of india,mixed
58,2016 uri attack and subsequent surgical strikes,2016,military,India,23.379379735000043,79.44332654800007,led to crossunknownborder surgical strikes by india against militant launch pads in pakistan,indian army,mixed
59,formation of indian national congress,1885,political formation,India,23.379379735000043,79.44332654800007,aimed to obtain a greater share in government for educated indians.,"allan octavian hume, indian leaders",positive
60,partition of bengal,1905,administrative,India,23.379379735000043,79.44332654800007,led to widespread nationalistic protests and was eventually reversed in 1911.,lord curzon,negative
61,jallianwala bagh massacre,1919,massacre,India,23.379379735000043,79.44332654800007,galvanized the indian population against british rule.,general dyer,negative
62,nonunknowncooperation movement,1920,civil disobedience movement,India,23.379379735000043,79.44332654800007,"nonunknownviolent resistance against british rule, emphasizing swaraj and swadeshi.",mahatma gandhi,positive
63,chauri chaura incident,1922,violent protest,India,23.379379735000043,79.44332654800007,led to gandhi halting the nonunknowncooperation movement due to violence.,indian protesters,negative
64,dandi march,1930,civil disobedience,India,23.379379735000043,79.44332654800007,"protest against the salt tax and british monopoly, pivotal in the independence movement.",mahatma gandhi,positive
65,first round table conference,1930,conference,UK,53.40838660500003,-1.9695595439999352,aimed at discussing constitutional reforms boycotted by the congress.,british government,mixed
66,purna swaraj declaration,1930,political declaration,India,23.379379735000043,79.44332654800007,the declaration of complete independence from british rule by the congress.,indian national congress,positive
67,quit india movement,1942,mass protest,India,23.379379735000043,79.44332654800007,called for an orderly british withdrawal from india.,"mahatma gandhi, indian national congress",positive
68,cripps mission,1942,negotiation,India,23.379379735000043,79.44332654800007,proposed indian dominion status after wwii rejected by indian leaders.,sir stafford cripps,negative
69,bengal famine of 1943,1943,famine,India,23.379379735000043,79.44332654800007,led to widespread criticism of british war policies and their impact on indian civilians.,british administration,negative
70,partition plan announced,1947,political decision,India,23.379379735000043,79.44332654800007,announced the creation of india and pakistan as separate nations.,lord mountbatten,negative
71,integration of princely states,1947,political integration,India,23.379379735000043,79.44332654800007,unified india by integrating princely states into the indian union.,sardar vallabhbhai patel,positive
72,constitution of india adopted,1950,constitutional adoption,India,23.379379735000043,79.44332654800007,"india became a sovereign, socialist, secular, democratic republic.",constituent assembly of india,positive
79,reserve bank of india rbi,1935,central banking institution,India,23.379379735000043,79.44332654800007,"regulates the issue of banknotes, maintains reserves to secure monetary stability, and operates the currency and credit system of the country.",british government preunknownindependence,positive
80,indian space research organisation isro,1969,space agency,India,23.379379735000043,79.44332654800007,"leads indias space exploration and satellite deployment, contributing to national development and global space science.",government of india,positive
81,bharatiya janata party bjp,1980,political party,India,23.379379735000043,79.44332654800007,"major political party in india, influencing the countrys political landscape and governance policies.","atal bihari vajpayee, l.k. advani",positive
82,securities and exchange board of india sebi,1988,regulatory body,India,23.379379735000043,79.44332654800007,"regulates the securities market in india, protecting investors and promoting the development of the securities market.",government of india,positive
83,taj mahal,1653,mausoleum,India,23.379379735000043,79.44332654800007,"a unesco world heritage site, symbolizing love, and an architectural marvel of the mughal era.",emperor shah jahan,positive
84,golden temple harmandir sahib,1585,religious shrine,India,23.379379735000043,79.44332654800007,"the spiritual and cultural center for the sikh religion, known for its goldunknownplated facade.",guru arjan,positive
85,creation of pakistan,1947,country formation,Pakistan,30.314282999000056,70.21010363900007,establishment of pakistan as a separate nation for muslims of the indian subcontinent.,muhammad ali jinnah,positive
86,first indounknownpak war,1947,military conflict,Pakistan,30.314282999000056,70.21010363900007,conflict over the princely state of kashmir leading to ongoing disputes.,india and pakistan,negative
87,pakistan joins the united nations,1947,international relations,Pakistan,30.314282999000056,70.21010363900007,"pakistan becomes a member of the un, starting its journey in international diplomacy.",government of pakistan,positive
88,first constitution of pakistan,1956,constitutional,Pakistan,30.314282999000056,70.21010363900007,"pakistan becomes an islamic republic, adopting its first constitution.",constituent assembly of pakistan,positive
89,east pakistan demands autonomy,1971,political movement,Pakistan,30.314282999000056,70.21010363900007,sheikh mujibur rahmans historic speech demanding autonomy for east pakistan.,sheikh mujibur rahman,mixed
90,independence of bangladesh,1971,country formation,Pakistan,30.314282999000056,70.21010363900007,"resulted in the secession of east pakistan, becoming bangladesh.","indian armed forces, mukti bahini",mixed
91,pakistans nuclear tests chagaiunknowni,1998,nuclear test,Pakistan,30.314282999000056,70.21010363900007,"pakistan becomes a nuclear power, conducting its first successful nuclear tests.",government of pakistan,mixed
92,kargil conflict,1999,military conflict,Pakistan,30.314282999000056,70.21010363900007,a military conflict between india and pakistan in the kargil district of kashmir.,india and pakistan,negative
93,2005 kashmir earthquake,2005,natural disaster,Pakistan,30.314282999000056,70.21010363900007,"a devastating earthquake affecting kashmir region, causing widespread damage and casualties.","government of pakistan, international aid",negative
94,assassination of benazir bhutto,2007,political,Pakistan,30.314282999000056,70.21010363900007,the assassination of the former prime minister of pakistan and a major political figure.,unknown assailants,negative
95,operation zarbunknowneunknownazb,2014,military operation,Pakistan,30.314282999000056,70.21010363900007,a military operation against insurgent groups in north waziristan part of the war on terror.,pakistan armed forces,positive
96,2014 peshawar school massacre,2014,terrorism,Pakistan,30.314282999000056,70.21010363900007,"a terrorist attack on the army public school, resulting in massive casualties, mostly children.",tehrikunknowniunknowntaliban pakistan,negative
97,chinaunknownpakistan economic corridor cpec agreement,2015,economicinfrastructure,Pakistan,30.314282999000056,70.21010363900007,a collection of infrastructure projects that are under construction throughout pakistan.,"government of pakistan, china",positive
98,panama papers case  disqualification of pm nawaz sharif,2017,political corruption,Pakistan,30.314282999000056,70.21010363900007,led to the disqualification of prime minister nawaz sharif from holding public office.,supreme court of pakistan,mixed
99,kartarpur corridor opening,2019,diplomaticreligious,Pakistan,30.314282999000056,70.21010363900007,"a border corridor between pakistan and india, allowing sikh pilgrims visaunknownfree access to a holy site.",governments of pakistan and india,positive
100,fatf grey list,2018,international finance,Pakistan,30.314282999000056,70.21010363900007,pakistan placed on the grey list by the financial action task force for terror financing and money laundering risks.,financial action task force fatf,negative
101,imran khan elected as prime minister,2018,political,Pakistan,30.314282999000056,70.21010363900007,"marks the first time a former cricketer transitioned to the prime minister, promising reform.",pakistan tehreekunknowneunknowninsaf pti,positive
102,abolition of fata,2018,administrative,Pakistan,30.314282999000056,70.21010363900007,"integrated the tribal regions into the khyber pakhtunkhwa province, aiming to mainstream the governance.",government of pakistan,positive
103,2019 pulwama attack and indiaunknownpakistan standoff,2019,militarypolitical,Pakistan,30.314282999000056,70.21010363900007,"led to heightened military tensions between india and pakistan, including crossunknownborder air strikes.","jaishunknowneunknownmohammed, governments of india and pakistan",negative
104,minarunknowneunknownpakistan construction,1960,monument,Pakistan,30.314282999000056,70.21010363900007,symbolizes freedom and the independence of pakistan.,government of pakistan,positive
105,lahore resolution pakistan resolution,1940,political declaration,Pakistan,30.314282999000056,70.21010363900007,a formal political statement that called for greater muslim autonomy in british india.,allunknownindia muslim league,positive
106,siachen glacier conflict,1984,military conflict,Pakistan,30.314282999000056,70.21010363900007,a military conflict between india and pakistan over the disputed siachen glacier region in kashmir.,india and pakistan,negative
107,indus water treaty,1960,international agreement,Pakistan,30.314282999000056,70.21010363900007,"a waterunknowndistribution treaty between india and pakistan, brokered by the world bank.","india, pakistan, world bank",positive
108,pakistan atomic energy commission establishment,1956,scientific organization,Pakistan,30.314282999000056,70.21010363900007,established to oversee the nuclear energy and research projects in pakistan.,government of pakistan,positive
109,nationalization in pakistan,1972,economic policy,Pakistan,30.314282999000056,70.21010363900007,"the government took control of private industries, banks, and educational institutions.",zulfikar ali bhutto,mixed
110,islamabad declaration,1980,international relations,Pakistan,30.314282999000056,70.21010363900007,an islamic summit that led to the creation of the economic cooperation organization eco.,leaders of muslimunknownmajority countries,positive
111,motorway network development,1997,infrastructure,Pakistan,30.314282999000056,70.21010363900007,development of a network of motorways to improve transportation and trade.,government of pakistan,positive
112,womens protection bill,2006,legislation,Pakistan,30.314282999000056,70.21010363900007,aims to amend and strengthen laws related to womens rights and protection.,parliament of pakistan,positive
113,malala yousafzais nobel peace prize,2014,international recognition,Pakistan,30.314282999000056,70.21010363900007,awarded for her struggle against the suppression of children and young people and for the right of all children to education.,"malala yousafzai, kailash satyarthi",positive
114,chinaunknownpakistan friendship highway completion,1986,infrastructure,Pakistan,30.314282999000056,70.21010363900007,"part of the karakoram highway, symbolizing the strong bilateral relationship between china and pakistan.",governments of china and pakistan,positive
115,benazir income support programme launch,2008,social welfare program,Pakistan,30.314282999000056,70.21010363900007,a federal unconditional cash transfer poverty reduction program in pakistan.,government of pakistan,positive
116,18th amendment to the constitution,2010,constitutional amendment,Pakistan,30.314282999000056,70.21010363900007,a landmark amendment that devolved significant powers from the federal government to the provinces.,parliament of pakistan,positive
117,pakistans first satellite launch,1990,space exploration,Pakistan,30.314282999000056,70.21010363900007,"launch of badrunknown1, pakistans first indigenously developed and manufactured satellite.",suparco,positive
118,protection of women act,2006,legislation,Pakistan,30.314282999000056,70.21010363900007,enhances legal protections for women against violence and discrimination.,parliament of pakistan,positive
119,national database and registration authority nadra establishment,1998,government agency,Pakistan,30.314282999000056,70.21010363900007,established to maintain a secure and efficient national identity system.,government of pakistan,positive
120,karachi nuclear power plant operational,1972,nuclear energy,Pakistan,30.314282999000056,70.21010363900007,marks the beginning of nuclear energy use for peaceful purposes in pakistan.,pakistan atomic energy commission,positive
121,hec digital library initiative,2004,education,Pakistan,30.314282999000056,70.21010363900007,provides students and researchers access to international scholarly literature.,higher education commission of pakistan,positive
122,gwadar port development,2002,infrastructure,Pakistan,30.314282999000056,70.21010363900007,"development of a major deepunknownsea port in the arabian sea, aiming to enhance trade.","government of pakistan, china",positive
123,national action plan against terrorism,2014,security policy,Pakistan,30.314282999000056,70.21010363900007,a comprehensive action plan for tackling terrorism in pakistan following the peshawar school massacre.,government of pakistan,positive
124,independence from british rule,1948,political,Sri Lanka,7.617678409000064,80.69863241800005,marked the end of british colonial rule and the beginning of selfunknowngovernance.,don stephen senanayake,positive
125,sinhala only act,1956,legislation,Sri Lanka,7.617678409000064,80.69863241800005,"made sinhala the sole official language, exacerbating ethnic tensions.",solomon bandaranaike,negative
126,1983 black july riots,1983,ethnic conflict,Sri Lanka,7.617678409000064,80.69863241800005,triggered a civil war between the sri lankan government and ltte.,various groups and individuals,negative
127,tsunami disaster,2004,natural disaster,Sri Lanka,7.617678409000064,80.69863241800005,"one of the deadliest natural disasters in sri lanka, leading to significant loss of life and displacement.",unknown,negative
128,end of the civil war,2009,military,Sri Lanka,7.617678409000064,80.69863241800005,ended nearly three decades of conflict between the sri lankan government and ltte.,"mahinda rajapaksa, sri lankan armed forces",positive
129,introduction of free education act,1945,education policy,Sri Lanka,7.617678409000064,80.69863241800005,established free education from primary to postunknowngraduate levels.,c.w.w. kannangara,positive
130,republican constitution of 1972,1972,constitutional,Sri Lanka,7.617678409000064,80.69863241800005,"transitioned ceylon to a republic named sri lanka, affirming sovereignty.",sirimavo bandaranaike,positive
131,establishment of the mahaweli development project,1977,infrastructure development,Sri Lanka,7.617678409000064,80.69863241800005,"aimed at irrigation and hydroelectric power generation, significantly impacting agriculture and energy supply.",government of sri lanka,positive
132,1987 indounknownsri lanka accord,1987,international agreement,Sri Lanka,7.617678409000064,80.69863241800005,"aimed to resolve the civil war and ensure tamil rights, leading to indian peace keeping force deployment.","j.r. jayewardene, rajiv gandhi",mixed
133,2002 ceasefire agreement with ltte,2002,peace process,Sri Lanka,7.617678409000064,80.69863241800005,"a temporary halt in hostilities, aiming for a lasting peace solution.","ranil wickremesinghe, ltte",mixed
134,victory over terrorism day,2010,commemoration,Sri Lanka,7.617678409000064,80.69863241800005,marks the end of the civil war and the defeat of ltte.,government of sri lanka,positive
135,establishment of the central bank of sri lanka,1950,economic policy,Sri Lanka,7.617678409000064,80.69863241800005,centralized control over monetary policy and financial system regulation.,government of sri lanka,positive
136,first executive president elected,1978,political,Sri Lanka,7.617678409000064,80.69863241800005,"introduced a new constitution and the executive presidency, changing the governance structure.",j.r. jayewardene,mixed
137,free health policy implementation,1951,health policy,Sri Lanka,7.617678409000064,80.69863241800005,"provided universal free healthcare, improving public health standards.",government of sri lanka,positive
138,2019 easter bombings,2019,terrorism,Sri Lanka,7.617678409000064,80.69863241800005,a series of coordinated terrorist suicide bombings targeting churches and hotels.,national thowheeth jamaath,negative
139,establishment of the university of ceylon,1942,education development,Sri Lanka,7.617678409000064,80.69863241800005,"the first university in sri lanka, marking a milestone in higher education.",government of sri lanka,positive
140,land reform law enacted,1972,land policy,Sri Lanka,7.617678409000064,80.69863241800005,redistributed land to address disparities and promote agricultural development.,government of sri lanka,mixed
141,womens franchise act passed,1931,legislation,Sri Lanka,7.617678409000064,80.69863241800005,"granted voting rights to women, significantly ahead of many other countries.",british colonial government,positive
142,establishment of sri lanka broadcasting corporation,1967,media development,Sri Lanka,7.617678409000064,80.69863241800005,"asias oldest radio station, contributing to the media landscape and cultural preservation.",government of sri lanka,positive
143,sigiriya designated as a unesco world heritage site,1982,cultural heritage,Sri Lanka,7.617678409000064,80.69863241800005,"recognition of the ancient rock fortress for its historical, archaeological, and artistic value.",unesco,positive
149,invention of paper by cai lun,105,scientific,China,36.567348398000036,103.93002703300004,revolutionized the way information was recorded and transmitted through ages.,cai lun,positive
150,introduction of buddhism to china,0,religiouscultural,China,36.567348398000036,103.93002703300004,"significantly influenced chinese culture, philosophy, and society for centuries.",buddhist missionaries,positive
151,construction of the great wall,600,architecturaldefensive,China,36.567348398000036,103.93002703300004,a series of fortifications built across northern borders of china for protection and border control.,various chinese dynasties,mixed
152,tang dynastys golden age,618,culturaleconomic,China,36.567348398000036,103.93002703300004,"a period of relative peace, prosperity, and cultural achievement that influenced east asia.","emperor taizong, wu zetian",positive
153,founding of the song dynasty,960,dynastic founding,China,36.567348398000036,103.93002703300004,"initiated advancements in technology, culture, and economics, including the use of gunpowder in warfare.",emperor taizu,positive
154,mongol conquest and the yuan dynasty establishment,1271,militarypolitical,China,36.567348398000036,103.93002703300004,"marked the first time china was ruled by foreign conquerors, leading to significant cultural exchanges.",kublai khan,mixed
155,fall of the ming dynasty and rise of the qing,1644,dynastic transition,China,36.567348398000036,103.93002703300004,the transition brought about significant changes in administration and expansion of territory.,"li zicheng, manchu leaders",mixed
156,the opium wars and treaty of nanjing,1842,international conflict,China,36.567348398000036,103.93002703300004,led to the opening of treaty ports and the cession of hong kong to britain.,"qing dynasty, british empire",negative
157,taiping rebellion,1850,civil war,China,36.567348398000036,103.93002703300004,"one of the deadliest military conflicts in history, challenging the qing dynastys rule.",hong xiuquan,negative
158,xinhai revolution and the end of imperial china,1911,political,China,36.567348398000036,103.93002703300004,"overthrew the qing dynasty, leading to the establishment of the republic of china.",sun yatunknownsen,positive
159,long march,1934,militarystrategic retreat,China,36.567348398000036,103.93002703300004,a strategic retreat by the chinese communist partys red army to evade the pursuit of the kuomintang army.,mao zedong,positive
160,cultural revolution,1966,politicalsocial movement,China,36.567348398000036,103.93002703300004,aimed at preserving chinese communism by purging remnants of capitalist and traditional elements.,mao zedong,negative
161,handover of hong kong,1997,international agreement,China,36.567348398000036,103.93002703300004,marked the return of hong kong from british to chinese sovereignty.,british and chinese governments,mixed
162,china hosts the olympic games,2008,international sports event,China,36.567348398000036,103.93002703300004,showcased chinas emergence as a global power and led to widespread infrastructural improvements in beijing.,"international olympic committee, chinese government",positive
163,silk road establishment,150,trade route development,China,36.567348398000036,103.93002703300004,"facilitated trade and cultural exchanges between the east and west, significantly impacting ancient world economies.",han dynasty,positive
164,invention of gunpowder,850,scientific,China,36.567348398000036,103.93002703300004,"led to revolutionary changes in warfare and later, global military technologies.",chinese alchemists,mixed
165,invention of the compass,1050,scientific,China,36.567348398000036,103.93002703300004,"revolutionized navigation and exploration, contributing to the age of discovery.",chinese scientists,positive
166,invention of printing technology,650,scientific,China,36.567348398000036,103.93002703300004,"pioneered the use of woodblock and movable type printing, transforming information dissemination.",chinese inventors,positive
167,battle of red cliffs,208,military,China,36.567348398000036,103.93002703300004,a decisive battle that marked the beginning of the three kingdoms period in chinese history.,"sun quan, liu bei",positive
168,the grand canal construction,650,infrastructure,China,36.567348398000036,103.93002703300004,"the worlds longest canal, crucial for internal trade and transportation in imperial china.",sui dynasty,positive
169,zheng hes expeditions,1430,exploration,China,36.567348398000036,103.93002703300004,demonstrated chinas naval capabilities and established international trade routes.,zheng he,positive
170,ming dynastys voyages of zheng he,1430,exploration,China,36.567348398000036,103.93002703300004,demonstrated chinas naval capabilities and established international trade routes.,zheng he,positive
171,qing dynastys establishment,1644,dynastic transition,China,36.567348398000036,103.93002703300004,"the last imperial dynasty of china, known for its expansion, arts, and internal consolidation.",manchu leaders,mixed
172,boxer rebellion,1900,antiunknownimperialist uprising,China,36.567348398000036,103.93002703300004,an antiunknownforeigner movement that aimed to rid china of foreign influence.,boxer militants,negative
173,may fourth movement,1919,cultural and political movement,China,36.567348398000036,103.93002703300004,"a studentunknownled protest against the treaty of versailles decisions, sparking significant cultural and intellectual reform.","chinese students, intellectuals",positive
174,oneunknownchild policy introduced,1979,population control policy,China,36.567348398000036,103.93002703300004,aimed to control the rapidly growing population of china through strict family planning.,chinese government,mixed
175,sinounknownjapanese war second,1937,military conflict,China,36.567348398000036,103.93002703300004,"a major part of wwii in asia, resulting in significant casualties and atrocities like the nanjing massacre.","imperial japanese army, nationalist china",negative
176,deng xiaopings southern tour,1992,economic reform,China,36.567348398000036,103.93002703300004,"reaffirmed the commitment to economic reforms and openingunknownup policies, leading to rapid economic growth.",deng xiaoping,positive
177,return of hong kong,1997,sovereignty transition,China,36.567348398000036,103.93002703300004,marked the transfer of sovereignty over hong kong from the united kingdom to china.,british and chinese governments,mixed
178,return of macau,1999,sovereignty transition,China,36.567348398000036,103.93002703300004,"similar to hong kongs return, marked the transfer of sovereignty over macau from portugal to china.",portuguese and chinese governments,mixed
179,2008 beijing olympics,2008,international sports event,China,36.567348398000036,103.93002703300004,showcased chinas emergence as a global power and led to widespread infrastructural improvements in beijing.,"international olympic committee, chinese government",positive
180,shanghai cooperation organization establishment,2001,international organization,China,36.567348398000036,103.93002703300004,"founded to promote multilateral cooperation in security, economy, and culture among member states.","china, russia, central asian states",positive
183,three kingdoms period begins,220,historical period,China,36.567348398000036,103.93002703300004,"a period of fragmentation and warfare among rival kingdoms wei, shu, and wu.","cao cao, liu bei, sun quan",mixed
184,an lushan rebellion,755,military rebellion,China,36.567348398000036,103.93002703300004,a devastating rebellion against the tang dynasty that significantly weakened it.,an lushan,negative
185,marco polos visit to yuan dynasty china,1290,exploration,China,36.567348398000036,103.93002703300004,enhanced knowledge and interest in china among europeans through his detailed accounts.,marco polo,positive
186,forbidden city completion,1420,architectural,China,36.567348398000036,103.93002703300004,"served as the imperial palace for ming and qing dynasties, symbolizing imperial power and architectural brilliance.",ming dynasty emperors,positive
187,jesuit missionaries arrive in ming dynasty,1530,culturalreligious exchange,China,36.567348398000036,103.93002703300004,"introduced western science, technology, and religion to the chinese imperial court.",matteo ricci and other jesuits,mixed
188,treaty of nanking signed,1842,international agreement,China,36.567348398000036,103.93002703300004,"ended the first opium war, ceding hong kong to britain and opening up ports to foreign trade under unequal terms.","qing dynasty, british empire",negative
189,establishment of the peoples republic of china,1949,political,China,36.567348398000036,103.93002703300004,"marked the victory of the communist party in the chinese civil war, establishing a socialist state.",mao zedong,positive
190,economic reform and openingunknownup policy initiated,1978,economic policy,China,36.567348398000036,103.93002703300004,"introduced by deng xiaoping, leading to significant economic growth and opening china to the global market.",deng xiaoping,positive
191,founding of the peoples republic of china,1949,political,China,36.567348398000036,103.93002703300004,"establishment of a communist government in china, significantly altering the countrys political landscape.",mao zedong,positive
192,great leap forward,1958,economic policy,China,36.567348398000036,103.93002703300004,"aimed at rapidly transforming china from an agrarian society into an industrial one, leading to widespread famine.",mao zedong,negative
193,cultural revolution,1966,politicalsocial movement,China,36.567348398000036,103.93002703300004,"aimed at preserving chinese communism by purging remnants of capitalist and traditional elements, causing social and political upheaval.",mao zedong,negative
194,sinounknownamerican rapprochement,1972,international relations,China,36.567348398000036,103.93002703300004,"normalization of relations between china and the united states, marked by president nixons visit.","mao zedong, zhou enlai, richard nixon",positive
195,reform and openingunknownup policy,1978,economic reform,China,36.567348398000036,103.93002703300004,"initiated by deng xiaoping, leading to significant economic growth and opening china to the global market.",deng xiaoping,positive
196,tiananmen square protests,1989,political,China,36.567348398000036,103.93002703300004,prounknowndemocracy protests calling for political reform violently suppressed by the government.,"chinese government, protesters",negative
